Venue,Event_Name,Description,Start_Date,Start_Time,End_Date,End_Time,Link,City,Image,Privacy,Background
new albany,USTA STATE OPEN CHAMPIONSHIPS NEW ALBANY-MS L3-STA-L4 GR 1 **RING TOURNY**,,2020-07-31, 00:00:00,2020-08-02, 00:00:00,http://eventful.com/newalbany/events/usta-state-open-championships-new-albanyms-l3stal-/E0-001-132011425-8?utm_source=apis&utm_medium=apim&utm_campaign=apic,New Albany,,1,1
Mollie Yunker,"Spirit Meets Science at the Historic Publick House Inn, Sturbridge, Ma", <br><br><br><br>Weekly Wednesday Intentional Healing Circle<br>4-5pm<br>A weekly opportunity to experience the power of healing possibilities in the hands of ,2020-07-29, 17:00:00,,,http://louisville.eventful.com/events/spirit-meets-science-historic-publick-house-i-/E0-001-134445107-6?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,"
http://d1marr3m5x4iac.cloudfront.net/images/small/I0-001/045/687/921-9.png_/spirit-meets-science-historic-publick-house-inn-st-21.png
48
48


http://d1marr3m5x4iac.cloudfront.net/images/thumb/I0-001/045/687/921-9.png_/spirit-meets-science-historic-publick-house-inn-st-21.png
48
48


http://d1marr3m5x4iac.cloudfront.net/images/small/I0-001/045/687/921-9.png_/spirit-meets-science-historic-publick-house-inn-st-21.png
48
48


http://d1marr3m5x4iac.cloudfront.net/images/medium/I0-001/045/687/921-9.png_/spirit-meets-science-historic-publick-house-inn-st-21.png
128
128

",1,1
Zanzabar,TV Girl & Jordana,,2020-07-14, 20:00:00,,,http://louisville.eventful.com/events/tv-girl-jordana-/E0-001-133675212-9?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,"
http://d1marr3m5x4iac.cloudfront.net/images/small/I0-001/004/341/530-5.jpeg_/tv-girl-30.jpeg
48
48


http://d1marr3m5x4iac.cloudfront.net/images/thumb/I0-001/004/341/530-5.jpeg_/tv-girl-30.jpeg
48
48


http://d1marr3m5x4iac.cloudfront.net/images/small/I0-001/004/341/530-5.jpeg_/tv-girl-30.jpeg
48
48


http://d1marr3m5x4iac.cloudfront.net/images/medium/I0-001/004/341/530-5.jpeg_/tv-girl-30.jpeg
128
128

",1,1
Our Savior Lutheran Church,Cosmic Cookie Dough Grades 1-2 Our Savior,,2020-07-06, 00:00:00,2020-07-10, 00:00:00,http://louisville.eventful.com/events/cosmic-cookie-dough-grades-12-our-savior-/E0-001-131953953-0?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
OCS Arts Center,Animal Art Camp,,2020-07-06, 00:00:00,2020-07-10, 00:00:00,http://louisville.eventful.com/events/animal-art-camp-/E0-001-133547001-5?utm_source=apis&utm_medium=apim&utm_campaign=apic,Crestwood,,1,1
Galt House Hotel,W. Clifford Petty 1- 800- 566- 6150,"
",2020-07-06, 20:00:00,,,http://louisville.eventful.com/events/w-clifford-petty-1-800-566-6150-/E0-001-133210797-8?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
Camp Hi Ho,Session 5,,2020-07-06, 00:00:00,2020-07-10, 00:00:00,http://louisville.eventful.com/events/session-5-/E0-001-132356542-6?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
Our Savior Lutheran,Jurassic Grades PK-K Our Savior Lutheran,,2020-07-06, 00:00:00,2020-07-10, 00:00:00,http://louisville.eventful.com/events/jurassic-grades-pkk-our-savior-lutheran-/E0-001-134081154-4?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
Walden School,Future Homes: Grades K-4,,2020-07-06, 00:00:00,2020-07-10, 00:00:00,http://louisville.eventful.com/events/future-homes-grades-k4-/E0-001-132837282-1?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
Our Savior Lutheran,Young Surgeon Our Savior Lutheran,,2020-07-06, 00:00:00,2020-07-10, 00:00:00,http://louisville.eventful.com/events/young-surgeon-our-savior-lutheran-/E0-001-133248303-6?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
OCS Arts Center,Selfie Portraits,,2020-07-06, 00:00:00,2020-07-10, 00:00:00,http://louisville.eventful.com/events/selfie-portraits-/E0-001-133539489-4?utm_source=apis&utm_medium=apim&utm_campaign=apic,Crestwood,,1,1
BU Surf Center,2020 July Week 1 (PM 4th-5th Grade),,2020-07-06, 00:00:00,2020-07-10, 00:00:00,http://louisville.eventful.com/events/2020-july-week-1-pm-4th5th-grade-/E0-001-134791322-1?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
OCS Arts Center,Printmaking & T-Shirt Design Camp ONLINE,,2020-07-06, 00:00:00,2020-07-10, 00:00:00,http://louisville.eventful.com/events/printmaking-tshirt-design-camp-online-/E0-001-134716345-5?utm_source=apis&utm_medium=apim&utm_campaign=apic,Crestwood,,1,1
Our Savior Lutheran,Coding With Roblox Our Savior Lutheran,,2020-07-06, 00:00:00,2020-07-10, 00:00:00,http://louisville.eventful.com/events/coding-roblox-our-savior-lutheran-/E0-001-133248360-1?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
SOUTHERN KENTUCKY KY - LOUISVILLE 71270,USTA/SOUTHERN KENTUCKY-2020 USTA LEAGUE 55 & Over SOUTHERN COMBO DOUBLES,,2020-07-17, 00:00:00,2020-09-06, 00:00:00,http://louisville.eventful.com/events/ustasouthern-kentucky2020-usta-league-55-ove-/E0-001-134957446-0?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
Louisville Slugger Field,Louisville vs. Toledo, INT Baseball,2020-07-17, 19:00:00,,,http://louisville.eventful.com/events/louisville-vs-toledo-/E0-001-132865526-5?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
Louisville Slugger Field,Louisville vs. Columbus, INT Baseball,2020-07-01, 19:00:00,,,http://louisville.eventful.com/events/louisville-vs-columbus-/E0-001-132865314-2?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
Lynn Family Stadium Parking,Louisville City FC Parking,,2020-07-01, 00:00:00,,,http://louisville.eventful.com/events/louisville-city-fc-parking-/E0-001-133766179-0?utm_source=apis&utm_medium=apim&utm_campaign=apic,Louisville,,1,1
